record_date,theme,eodhd_symbol,name,skill_verdict,tier,entry_price,currency,entry_stage,thesis,invalidation,notes
2026-07-06,A股半导体,688126.SHG,沪硅产业,候选,上游咽喉,34.61,CNY,early-uptrend,国产300mm大硅片龙头；全球300mm硅片寡头垄断，国内Fab扩产必须培育本土供应商；大基金三期投向设备/材料。,跌破6个月区间中位（约¥30）且1月动量转负；或12寸正片大客户认证显著推迟。,当前亏损（eps_growth -132%），主要靠PS与政策预期支撑；估值安全边际弱。
2026-07-06,A股半导体,603290.SHG,斯达半导,候选,中游卖铲子,126.71,CNY,early-uptrend,国内IGBT模块龙头；新能源车/光伏/风电/电网变流器通用；海外英飞凌受限下国产替代加速。,跌破¥110且1月动量转负；或新能源车用IGBT订单连续下滑。,forward PE 37x基于业绩拐点假设；SiC替代IGBT节奏是长期风险。
2026-07-06,A股半导体,300655.SHE,晶瑞电材,观察,上游咽喉,18.27,CNY,early-uptrend,半导体光刻胶+高纯湿电子化学品龙头；晶圆厂耗材国产替代最直接环节。,跌破¥16且1月动量转负；或光刻胶收入占比连续两季度下降。,forward PE 147x、eps_growth -85%，估值太贵；需等回调或ArF验证落地。
2026-07-06,A股半导体,300346.SHE,南大光电,观察,上游咽喉,77.74,CNY,early-uptrend,ArF光刻胶+MO源/电子特气国产先锋；长鑫/中芯核心材料商。,跌破¥65且1月动量转负；或ArF光刻胶验证进度公告延后。,forward PE 307x、PEG 5.15，估值已透支；需时间消化。
2026-07-06,A股半导体,688019.SHG,安集科技,观察,上游咽喉,289.35,CNY,early-uptrend,国产CMP抛光液龙头；先进制程CMP steps增加+耗材复购，收入可预测性强。,跌破¥240且1月动量转负；或连续两季度毛利率下滑。,同时出现在半导体、存储主题；forward PE 83x、PEG 3.48，估值不便宜。
2026-07-06,A股半导体,688521.SHG,芯原股份,观察,中游卖铲子,299.39,CNY,early-uptrend,芯片IP/一站式芯片定制；Chiplet与AI芯片设计服务受益。,跌破¥240且1月动量转负；或季度授权收入同比转负。,估值不低；主题纯度与业绩可见度需跟踪。
2026-07-06,A股存储芯片,603005.SHG,晶方科技,候选,上游咽喉,42.59,CNY,early-uptrend,WLCSP/TSV小盘封装龙头；受益存储/CIS国产替代；相对板块滞涨。,跌破¥39或Q2营收环比下滑。,forward PE 74x偏贵，主要靠题材驱动；CIS客户集中。
2026-07-06,A股存储芯片,688008.SHG,澜起科技,观察,中游卖铲子,268.68,CNY,early-uptrend,全球内存接口芯片(DDR4/DDR5)核心供应商；HBM4E接口已送样。,核心客户平台延期或市场份额被Renesas/Inphi侵蚀。,forward PE 146x、trailing PE 128x；3个月+108%，估值已大幅前置。
2026-07-06,A股存储芯片,002156.SHE,通富微电,观察,上游咽喉,66.18,CNY,early-uptrend,AMD核心封测伙伴；国内HBM/2.5D封装技术领先。,跌破¥60或AMD下修资本开支。,同时出现在半导体主题；市值大、弹性一般。
2026-07-06,A股能源转型,600312.SHG,平高电气,候选,上游咽喉,17.64,CNY,downtrend/basing,GIS/开关设备龙头；特高压订单饱满，在手订单充足。,国网特高压招标延期或公司市占率下滑导致订单增速低于10%。,stage为downtrend/basing，属于左侧；需确认盈利拐点。
2026-07-06,A股能源转型,603290.SHG,斯达半导,候选,中游卖铲子,126.71,CNY,early-uptrend,国内IGBT模块龙头；新能源车/光伏/风电/电网变流器通用。,跌破¥110且1月动量转负；或新能源车用IGBT订单连续下滑。,同时出现在半导体主题。
2026-07-06,A股能源转型,603799.SHG,华友钴业,候选,上游咽喉,46.91,CNY,downtrend/basing,资源+冶炼+前驱体一体化；估值处于周期底部，上游资源属性强。,钴镍价格继续下跌且前驱体毛利率跌破8%。,周期股，底部确认需时间；海外政策风险。
2026-07-06,A股能源转型,000792.SHE,盐湖股份,候选,上游咽喉,29.25,CNY,downtrend/basing,国内成本最低的盐湖提锂之一；资源护城河深厚。,碳酸锂价格跌破¥7万元/吨并持续两个季度。,锂周期底部左侧；若锂价二次探底将再承压。
2026-07-06,A股能源转型,688234.SHG,天岳先进,观察,上游咽喉,141.41,CNY,range/neutral,SiC 8英寸导电衬底全球市占率高；最上游瓶颈。,连续两个季度营收环比下滑或毛利率未转正。,无PE、近3月+65%已部分定价；等回调或盈利信号。
2026-07-06,A股能源转型,603606.SHG,东方电缆,观察,上游咽喉,42.04,CNY,range/neutral,海缆三寡头，瓶颈逻辑强。,2026年海缆新签订单同比大幅下滑或毛利率跌破25%。,下游海风开工节奏不确定。
2026-07-06,A股机器人,300224.SHE,正海磁材,观察,上游咽喉,13.38,CNY,range/neutral,稀土永磁材料龙头，电机必需材料。,跌破¥11.5且1月动量转负；或稀土价格继续下跌/机器人磁材订单无增长。,eps_growth -32%、rev_growth -6%，基本面与机器人叙事脱节。
2026-07-06,A股机器人,688190.SHG,云路股份,观察,上游咽喉,85.59,CNY,range/neutral,非晶/纳米晶软磁材料龙头，高效电机铁芯核心材料。,跌破¥70且1月动量转负；或非晶电机铁芯渗透率无提升。,eps_growth -21%；题材最冷但业绩也承压。
2026-07-06,A股机器人,300718.SHE,长盛轴承,观察,中游卖铲子,70.52,CNY,range/neutral,自润滑轴承龙头，机器人关节/丝杠潜在BOM。,跌破¥55且1月动量转负；或自润滑轴承未进入主流机器人BOM。,forward PE 86x、PEG 5.34，估值太贵。
2026-07-06,A股机器人,688017.SHG,绿的谐波,观察,中游卖铲子,453.98,CNY,extended/parabolic,国内谐波减速器龙头，人形机器人旋转关节BOM必备。,跌破6个月区间中位（约¥350）且1月动量转负。,3个月+135%、区间88%分位，已过热。
2026-07-06,A股机器人,603009.SHG,北特科技,观察,中游卖铲子,52.9,CNY,early-uptrend,转向器壳体龙头向行星滚柱丝杠延伸；人形线性关节稀缺标的。,跌破¥42且1月动量转负；或行星滚柱丝杠量产推迟>6个月。,估值150x+，需量产公告验证。
