theme,ticker,name,rating,entry_price,target_range,time_frame,invalidation,catalyst,notes,scan_date
A股半导体,688126.SH,沪硅产业,🟢,34.61,¥36.34–¥43.87,3–6个月,跌破6个月区间中位（约¥30）且1月动量转负；或公司公告12寸正片大客户认证显著推迟。,大基金三期/地方国资落地、12寸硅片批量出货、中芯/华虹等晶圆厂扩产招标。,"300mm半导体硅片国产龙头 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-21.1%",2026-07-06
A股半导体,605358.SH,立昂微,🟢,59.49,¥62.46–¥83.29,3–6个月,跌破¥50且3月动量回落至0以下；或功率器件订单连续两季度下滑。,硅片提价、功率IDM产能利用率回升、12寸客户认证通过。,"硅片+功率器件双主业 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-28.6%",2026-07-06
A股半导体,688233.SH,神工股份,🟡,180.55,¥189.58–¥247.0,3–6个月（等回调或催化剂落地）,跌破¥162.5且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"单晶硅材料/硅零部件 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-26.9%",2026-07-06
A股半导体,300655.SZ,晶瑞电材,🟢,18.27,¥19.18–¥23.22,3–6个月,跌破¥16且1月动量转负；或光刻胶收入占比连续两个季度下降。,KrF光刻胶批量导入、高纯化学品订单放量、大基金三期材料子基金落地。,"光刻胶+高纯湿电子化学品 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-21.3%",2026-07-06
A股半导体,300346.SZ,南大光电,🟢,77.74,¥81.63–¥98.82,3–6个月,跌破¥65且1月动量转负；或ArF光刻胶验证进度公告延后。,ArF光刻胶通过更多客户验证、特气新产能投产。,"ArF光刻胶+MO源/电子特气 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-21.3%",2026-07-06
A股半导体,300666.SZ,江丰电子,🟡,326.86,¥343.2–¥418.99,3–6个月（等回调或催化剂落地）,跌破¥294.2且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"高纯金属溅射靶材 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-22.0%",2026-07-06
A股半导体,300706.SZ,阿石创,🟢,69.43,¥72.9–¥93.9,3–6个月,跌破¥55且1月动量转负；或半导体靶材收入占比未见提升。,半导体靶材通过头部晶圆厂认证、面板/光伏订单回暖。,"PVD镀膜材料/溅射靶材 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-26.1%",2026-07-06
A股半导体,002409.SZ,雅克科技,🟡,186.45,¥195.77–¥246.44,3–6个月（等回调或催化剂落地）,跌破¥167.8且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"半导体前驱体/电子特气/LDS材料 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-24.3%",2026-07-06
A股半导体,300054.SZ,鼎龙股份,🟡,90.56,¥95.09–¥111.03,3–6个月（等回调或催化剂落地）,跌破¥81.5且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"CMP抛光垫+打印复印耗材 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-18.4%",2026-07-06
A股半导体,688019.SH,安集科技,🟢,289.35,¥303.82–¥366.0,3–6个月,跌破¥240且1月动量转负；或连续两季度毛利率下滑。,12寸逻辑/存储客户份额提升、抛光垫等新耗材放量。,"CMP抛光液/清洗液 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-20.9%",2026-07-06
A股半导体,002371.SZ,北方华创,🟡,803.6,¥843.78–¥967.13,3–6个月（等回调或催化剂落地）,跌破¥723.2且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"平台型半导体设备龙头 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-16.9%",2026-07-06
A股半导体,688012.SH,中微公司,🟡,420.0,¥441.0–¥500.0,3–6个月（等回调或催化剂落地）,跌破¥378.0且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"等离子体刻蚀设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-16.0%",2026-07-06
A股半导体,688072.SH,拓荆科技,🟡,832.0,¥873.6–¥931.84,3–6个月（等回调或催化剂落地）,跌破¥748.8且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"薄膜沉积设备（PECVD/SACVD/ALD） | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-3.8%",2026-07-06
A股半导体,688120.SH,华海清科,🟡,269.0,¥282.45–¥356.64,3–6个月（等回调或催化剂落地）,跌破¥242.1且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"CMP设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-24.6%",2026-07-06
A股半导体,688082.SH,盛美上海,🟡,373.0,¥391.65–¥459.99,3–6个月（等回调或催化剂落地）,跌破¥335.7且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"清洗/电镀/炉管设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-18.9%",2026-07-06
A股半导体,688037.SH,芯源微,🟡,370.76,¥389.3–¥459.88,3–6个月（等回调或催化剂落地）,跌破¥333.7且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"涂胶显影设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-19.4%",2026-07-06
A股半导体,688147.SH,微导纳米,🟡,135.1,¥141.85–¥171.9,3–6个月（等回调或催化剂落地）,跌破¥121.6且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"ALD/光伏/半导体设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-21.4%",2026-07-06
A股半导体,300567.SZ,精测电子,🟡,266.57,¥279.9–¥335.12,3–6个月（等回调或催化剂落地）,跌破¥239.9且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"半导体检测设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-20.5%",2026-07-06
A股半导体,301269.SZ,华大九天,🟡,117.21,¥123.07–¥137.38,3–6个月（等回调或催化剂落地）,跌破¥105.5且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"EDA工具 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-14.7%",2026-07-06
A股半导体,688521.SH,芯原股份,🟢,299.39,¥314.36–¥375.67,3–6个月,跌破¥240且1月动量转负；或季度授权收入同比转负。,Chiplet客户授权落地、AI芯片设计服务订单增长。,"芯片IP/一站式芯片定制 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-20.3%",2026-07-06
A股半导体,688206.SH,概伦电子,🟡,48.76,¥51.2–¥54.61,3–6个月（等回调或催化剂落地）,跌破¥43.9且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"EDA/IP与设计服务 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-1.7%",2026-07-06
A股半导体,688981.SH,中芯国际,🟡,143.99,¥151.19–¥166.88,6–12个月,跌破¥129.6且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂产能利用率回升、封测景气拐点、政府产业基金落地。,"晶圆代工龙头 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-13.7%",2026-07-06
A股半导体,688347.SH,华虹公司,🟡,309.68,¥325.16–¥347.8,6–12个月,跌破¥278.7且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂产能利用率回升、封测景气拐点、政府产业基金落地。,"特色工艺晶圆代工 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-11.0%",2026-07-06
A股半导体,600460.SH,士兰微,🟡,46.62,¥48.95–¥57.1,6–12个月,跌破¥42.0且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂产能利用率回升、封测景气拐点、政府产业基金落地。,"功率IDM | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-18.4%",2026-07-06
A股半导体,688396.SH,华润微,🟡,86.03,¥90.33–¥101.99,6–12个月,跌破¥77.4且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂产能利用率回升、封测景气拐点、政府产业基金落地。,"功率半导体IDM | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-15.6%",2026-07-06
A股半导体,300661.SZ,圣邦股份,🟡,135.97,¥142.77–¥151.9,6–12个月,跌破¥122.4且1月动量转负；或行业订单/毛利率连续两季度低于预期。,下游新能源/汽车电子需求回暖、产品线涨价/订单公告。,"模拟IC | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-10.5%",2026-07-06
A股半导体,688536.SH,思瑞浦,🟡,339.9,¥356.89–¥375.76,6–12个月,跌破¥305.9且1月动量转负；或行业订单/毛利率连续两季度低于预期。,下游新能源/汽车电子需求回暖、产品线涨价/订单公告。,"模拟/信号链IC | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-9.5%",2026-07-06
A股半导体,688798.SH,艾为电子,🟡,69.6,¥73.08–¥85.35,6–12个月,跌破¥62.6且1月动量转负；或行业订单/毛利率连续两季度低于预期。,下游新能源/汽车电子需求回暖、产品线涨价/订单公告。,数模混合/音频/电源管理IC | stage=range/neutral | 距6月高点-18.5%,2026-07-06
A股半导体,688052.SH,纳芯微,🟡,262.68,¥275.81–¥307.29,6–12个月,跌破¥236.4且1月动量转负；或行业订单/毛利率连续两季度低于预期。,下游新能源/汽车电子需求回暖、产品线涨价/订单公告。,"模拟/隔离/接口IC | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-14.5%",2026-07-06
A股半导体,300782.SZ,卓胜微,🟡,95.82,¥100.61–¥144.9,6–12个月,跌破¥86.2且1月动量转负；或行业订单/毛利率连续两季度低于预期。,下游新能源/汽车电子需求回暖、产品线涨价/订单公告。,射频前端芯片 | stage=range/neutral | 距6月高点-33.9%,2026-07-06
A股半导体,002049.SZ,紫光国微,🟡,83.2,¥87.36–¥91.79,6–12个月,跌破¥74.9且1月动量转负；或行业订单/毛利率连续两季度低于预期。,下游新能源/汽车电子需求回暖、产品线涨价/订单公告。,"FPGA/安全芯片 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-9.4%",2026-07-06
A股半导体,688385.SH,复旦微电,🟢,66.9,¥70.25–¥99.88,3–6个月,跌破¥55且1月动量转负；或FPGA新品发布不及预期。,高端FPGA量产、安全芯片订单放量。,"FPGA/安全芯片 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-33.0%",2026-07-06
A股半导体,603688.SH,石英股份,🟢,66.04,¥69.34–¥89.5,3–6个月,跌破¥59.4且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,高纯石英材料（坩埚/光纤） | stage=range/neutral | 距6月高点-26.2%,2026-07-06
A股半导体,688268.SH,华特气体,🟡,212.2,¥222.81–¥290.0,3–6个月（等回调或催化剂落地）,跌破¥191.0且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"电子特种气体 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-26.8%",2026-07-06
A股半导体,603650.SH,彤程新材,🟡,83.69,¥87.87–¥102.28,3–6个月（等回调或催化剂落地）,跌破¥75.3且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"半导体光刻胶+酚醛树脂 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-18.2%",2026-07-06
A股半导体,688106.SH,金宏气体,🟢,36.89,¥38.73–¥51.91,3–6个月,跌破¥30且1月动量转负；或电子特气收入连续两季度负增长。,电子特气新签长单、现场制气项目投产。,"电子特气+工业气体 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-28.9%",2026-07-06
A股半导体,688200.SH,华峰测控,🟡,443.4,¥465.57–¥570.0,3–6个月（等回调或催化剂落地）,跌破¥399.1且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"模拟/混合信号测试机 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-22.2%",2026-07-06
A股半导体,688630.SH,芯碁微装,🟡,470.0,¥493.5–¥577.66,3–6个月（等回调或催化剂落地）,跌破¥423.0且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"直写光刻设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-18.6%",2026-07-06
A股半导体,603005.SH,晶方科技,🟢,42.59,¥44.72–¥55.26,3–6个月,跌破¥36且1月动量转负；或先进封装收入占比下滑。,CIS/滤波器封装订单放量、先进封装产能爬坡。,"WLCSP先进封装 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-22.9%",2026-07-06
A股半导体,002156.SZ,通富微电,🟡,66.18,¥69.49–¥79.38,6–12个月,跌破¥59.6且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂产能利用率回升、封测景气拐点、政府产业基金落地。,"封测/先进封装 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-16.6%",2026-07-06
A股半导体,688519.SH,南亚新材,🟡,340.12,¥357.13–¥439.82,3–6个月（等回调或催化剂落地）,跌破¥306.1且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"覆铜板/IC载板基材 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-22.7%",2026-07-06
A股半导体,605111.SH,新洁能,🟡,80.36,¥84.38–¥104.43,6–12个月,跌破¥72.3且1月动量转负；或行业订单/毛利率连续两季度低于预期。,下游新能源/汽车电子需求回暖、产品线涨价/订单公告。,"MOSFET/功率器件 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-23.0%",2026-07-06
A股半导体,603290.SH,斯达半导,🟢,126.71,¥133.05–¥159.69,3–6个月,跌破¥110且1月动量转负；或新能源车用IGBT订单连续下滑。,800V高压平台IGBT/SiC模块放量、海外客户突破。,"IGBT模块 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-20.7%",2026-07-06
A股半导体,688172.SH,燕东微,🟡,76.4,¥80.22–¥90.0,6–12个月,跌破¥68.8且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂产能利用率回升、封测景气拐点、政府产业基金落地。,"模拟IC/功率IDM | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-15.1%",2026-07-06
A股半导体,688596.SH,正帆科技,🟡,71.0,¥74.55–¥88.66,3–6个月（等回调或催化剂落地）,跌破¥63.9且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"工艺介质供应系统+电子特气 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-19.9%",2026-07-06
A股半导体,300623.SZ,捷捷微电,🟢,38.22,¥40.13–¥45.57,3–6个月,跌破¥32且1月动量转负；或功率器件毛利率连续两季度下滑。,汽车电子订单增长、功率器件提价。,"晶闸管/防护器件 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-16.1%",2026-07-06
A股半导体,600584.SH,长电科技,🟡,95.09,¥99.84–¥111.11,6–12个月,跌破¥85.6且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂产能利用率回升、封测景气拐点、政府产业基金落地。,"封测龙头 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-14.4%",2026-07-06
